0.795	-4.63942e-07	1.14005e-05	-0.71389	0.700298	-0.337644	5.349	34.7497	0.023532	
0.81	-4.90396e-07	1.18327e-05	-0.724314	0.689512	-0.344006	5.34859	34.7497	0.023976	
0.825	-5.17819e-07	1.22729e-05	-0.734575	0.678571	-0.350367	5.34816	34.7497	0.02442	
0.84	-5.46227e-07	1.2721e-05	-0.744671	0.667477	-0.356727	5.34772	34.7497	0.024864	
0.855	-5.75636e-07	1.3177e-05	-0.754599	0.656234	-0.363088	5.34728	34.7497	0.025308	
0.87	-6.06061e-07	1.36409e-05	-0.764357	0.644842	-0.369447	5.34683	34.7497	0.025752	
0.885	-6.37517e-07	1.41127e-05	-0.773944	0.633306	-0.375806	5.34637	34.7497	0.026196	
0.9	-6.7002e-07	1.45925e-05	-0.783356	0.621627	-0.382165	5.34591	34.7497	0.02664	
0.915	-7.03585e-07	1.508e-05	-0.792592	0.609808	-0.388523	5.34544	34.7497	0.027084	
0.93	-7.38228e-07	1.55755e-05	-0.80165	0.597853	-0.39488	5.34495	34.7496	0.027528	
0.945	-7.73963e-07	1.60788e-05	-0.810528	0.585762	-0.401237	5.34446	34.7496	0.027972	
0.96	-8.10804e-07	1.659e-05	-0.819223	0.57354	-0.407593	5.34397	34.7496	0.0284159	
0.975	-8.48768e-07	1.7109e-05	-0.827733	0.561189	-0.413949	5.34346	34.7496	0.0288599	
0.99	-8.87868e-07	1.76359e-05	-0.836058	0.548711	-0.420304	5.34295	34.7496	0.0293039	
1.005	-9.28119e-07	1.81706e-05	-0.844194	0.536111	-0.426658	5.34243	34.7496	0.0297479	
1.02	-9.69536e-07	1.87131e-05	-0.852141	0.523389	-0.433012	5.3419	34.7496	0.0301919	
1.035	-1.01213e-06	1.92634e-05	-0.859896	0.51055	-0.439365	5.34137	34.7496	0.0306359	
1.05	-1.05592e-06	1.98215e-05	-0.867457	0.497596	-0.445718	5.34082	34.7495	0.0310799	
1.065	-1.10092e-06	2.03874e-05	-0.874823	0.48453	-0.45207	5.34027	34.7495	0.0315239	
1.08	-1.14714e-06	2.09611e-05	-0.881993	0.471355	-0.458421	5.33971	34.7495	0.0319679	
1.095	-1.19459e-06	2.15426e-05	-0.888963	0.458074	-0.464771	5.33914	34.7495	0.0324119	
1.11	-1.24329e-06	2.21318e-05	-0.895734	0.44469	-0.471121	5.33857	34.7495	0.0328559	
1.125	-1.29326e-06	2.27288e-05	-0.902304	0.431206	-0.47747	5.33799	34.7495	0.0332999	
1.14	-1.3445e-06	2.33335e-05	-0.90867	0.417625	-0.483819	5.3374	34.7495	0.0337439	
1.155	-1.39703e-06	2.3946e-05	-0.914832	0.40395	-0.490167	5.3368	34.7494	0.0341879	
1.17	-1.45086e-06	2.45661e-05	-0.920788	0.390184	-0.496514	5.33619	34.7494	0.0346319	
1.185	-1.50601e-06	2.5194e-05	-0.926537	0.37633	-0.50286	5.33558	34.7494	0.0350759	
1.2	-1.56248e-06	2.58296e-05	-0.932078	0.362392	-0.509206	5.33496	34.7494	0.0355199	
1.215	-1.62029e-06	2.64729e-05	-0.937409	0.348372	-0.51555	5.33433	34.7494	0.0359639	
1.23	-1.67946e-06	2.71239e-05	-0.942529	0.334274	-0.521894	5.33369	34.7494	0.0364079	
1.245	-1.73999e-06	2.77825e-05	-0.947437	0.3201	-0.528238	5.33304	34.7494	0.0368519	
1.26	-1.80189e-06	2.84488e-05	-0.952131	0.305855	-0.53458	5.33239	34.7493	0.0372959	
1.275	-1.86519e-06	2.91227e-05	-0.956612	0.291541	-0.540922	5.33173	34.7493	0.0377399	
1.29	-1.92988e-06	2.98043e-05	-0.960877	0.277161	-0.547263	5.33106	34.7493	0.0381838	
1.305	-1.99599e-06	3.04935e-05	-0.964927	0.262719	-0.553603	5.33039	34.7493	0.0386278	
1.32	-2.06353e-06	3.11904e-05	-0.968759	0.248218	-0.559943	5.3297	34.7493	0.0390718	
1.335	-2.1325e-06	3.18948e-05	-0.972373	0.233661	-0.566281	5.32901	34.7493	0.0395158	
1.35	-2.20291e-06	3.26069e-05	-0.975768	0.219051	-0.572619	5.32831	34.7492	0.0399598	
1.365	-2.27478e-06	3.33265e-05	-0.978944	0.204393	-0.578956	5.3276	34.7492	0.0404038	
